Wall time,Step,Value
1507897488.8069663,0,310519.0
1507897489.3462007,1,119232.234375
1507897489.8919437,2,110114.2734375
1507897490.425327,3,107589.359375
1507897490.945326,4,106242.1484375
1507897491.460857,5,105203.1484375
1507897491.977858,6,104366.8515625
1507897492.5068946,7,103509.40625
1507897493.0238948,8,102928.453125
1507897493.5508952,9,102415.109375
1507897494.0801392,10,101937.28125
1507897494.594139,11,101631.1640625
1507897495.1081383,12,100972.8671875
1507897495.623841,13,100794.53125
1507897496.134841,14,100791.5703125
1507897496.653842,15,100445.7734375
1507897497.1708412,16,100122.7890625
1507897497.6798408,17,99919.1875
1507897498.1892512,18,99625.7421875
1507897498.7102506,19,99404.9921875
1507897499.227905,20,99227.6015625
1507897499.7449136,21,98945.7421875
1507897500.2599142,22,98766.59375
1507897500.7949352,23,98565.8203125
1507897501.3099356,24,98653.59375
1507897501.8259356,25,98392.3671875
1507897502.3449354,26,98486.6796875
1507897502.8579352,27,98354.5625
1507897503.375936,28,98295.171875
1507897503.8949356,29,97984.546875
1507897504.409936,30,97834.8359375
1507897504.9279366,31,97692.1484375
1507897505.446936,32,97598.296875
1507897505.965936,33,97375.171875
1507897506.4813027,34,97082.359375
1507897507.0003028,35,97298.609375
1507897507.5196548,36,96935.015625
1507897508.037655,37,97048.8359375
1507897508.5536554,38,96874.203125
1507897509.120116,39,96526.0703125
1507897509.6502705,40,96641.8828125
1507897510.1642704,41,96791.9609375
1507897510.681272,42,96400.6640625
1507897511.1982718,43,96360.5
1507897511.7173653,44,96348.7578125
1507897512.2383652,45,96135.921875
1507897512.7553654,46,96052.765625
1507897513.2713664,47,96054.09375
1507897513.7893662,48,95749.7890625
1507897514.3053665,49,95434.15625
1507897514.820366,50,95419.4140625
1507897515.3353662,51,95533.0703125
1507897515.8553667,52,95138.234375
1507897516.3701935,53,95251.046875
1507897516.887194,54,94754.578125
1507897517.404194,55,94557.1484375
1507897517.918594,56,94119.6015625
1507897518.4745953,57,93531.15625
1507897519.0035944,58,92758.4375
1507897519.587598,59,91978.1328125
1507897520.124596,60,90750.1015625
1507897520.6736224,61,89536.9921875
1507897521.235621,62,88801.2109375
1507897521.7706437,63,87471.09375
1507897522.296644,64,86468.15625
1507897522.8273387,65,85672.265625
1507897523.3563397,66,84767.1328125
1507897523.878339,67,84058.7109375
1507897524.3973396,68,83060.4140625
1507897524.935382,69,81821.8671875
1507897525.468003,70,81006.5078125
1507897525.9880042,71,79873.6015625
1507897526.5194387,72,79046.125
1507897527.029439,73,78043.5078125
1507897527.5464501,74,77179.53125
1507897528.068449,75,76662.6171875
1507897528.5854495,76,75864.6171875
1507897529.10145,77,75487.4140625
1507897529.6259933,78,74948.1015625
1507897530.146993,79,74116.2421875
1507897530.6822999,80,73802.9140625
1507897531.2287488,81,73414.6484375
1507897531.7477744,82,73184.890625
1507897532.2637756,83,72730.203125
1507897532.7943,84,72234.921875
1507897533.5340135,85,71878.734375
1507897534.0567997,86,71715.515625
1507897534.5728009,87,71769.5546875
1507897535.0888014,88,71075.65625
1507897535.6058006,89,70896.7890625
1507897536.1218,90,70772.6953125
1507897536.640801,91,70267.1953125
1507897537.1555781,92,70292.421875
1507897537.6735787,93,69822.7265625
1507897538.189579,94,69844.875
1507897538.7045794,95,69392.0
1507897539.2206895,96,69347.546875
1507897539.7561698,97,69186.84375
1507897540.2711685,98,68935.3125
1507897540.7871692,99,68881.9765625
1507897541.3271701,100,68707.96875
1507897541.8731694,101,68379.0390625
1507897542.4131703,102,68356.3515625
1507897542.9461699,103,68249.25
1507897543.4623973,104,67829.859375
1507897543.9723973,105,68330.25
1507897544.485031,106,67677.9765625
1507897544.9990299,107,67714.1484375
1507897545.5107336,108,67939.3359375
1507897546.025734,109,67365.5625
1507897546.544734,110,67378.7109375
1507897547.0624146,111,67459.3046875
1507897547.5924141,112,67261.59375
1507897548.1054144,113,67217.875
1507897548.6177452,114,67138.234375
1507897549.1311321,115,67102.2265625
1507897549.7252135,116,66737.234375
1507897550.240213,117,66919.6015625
1507897550.7762358,118,66895.515625
1507897551.3092363,119,66565.890625
1507897551.8292372,120,66777.6796875
1507897552.3691828,121,66543.3828125
1507897552.907652,122,66596.6328125
1507897553.4236522,123,66544.2890625
1507897553.9386523,124,66368.1484375
1507897554.4536529,125,66225.46875
1507897554.9854875,126,66063.015625
1507897555.5111983,127,66253.234375
1507897556.0281978,128,66186.296875
1507897556.5421984,129,66118.7734375
1507897557.057198,130,66202.4453125
1507897557.5767703,131,65948.21875
1507897558.0887704,132,65776.09375
1507897558.6067698,133,65851.515625
1507897559.120771,134,65672.4296875
1507897559.6387703,135,65713.2734375
1507897560.1607702,136,65609.7578125
1507897560.6857705,137,65758.5703125
1507897561.20477,138,65621.7578125
1507897561.7311027,139,65711.8203125
1507897562.2501035,140,65294.30078125
1507897562.7681036,141,65517.9765625
1507897563.285103,142,65247.57421875
1507897563.8111043,143,65346.7421875
1507897564.327377,144,65611.8828125
1507897564.8626459,145,65266.68359375
1507897565.3816454,146,65341.8828125
1507897565.9001248,147,65231.44140625
1507897566.418126,148,65222.72265625
1507897566.9375298,149,64965.6796875
1507897567.4635305,150,64967.265625
1507897567.9835305,151,65084.73046875
1507897568.5045304,152,65019.48828125
1507897569.0255296,153,64987.9609375
1507897569.5465305,154,65011.63671875
1507897570.0605314,155,64778.2578125
1507897570.578081,156,65039.3515625
1507897571.0967996,157,64635.40625
1507897571.614799,158,64667.5078125
1507897572.1337993,159,65012.91796875
1507897572.6547995,160,64736.9921875
1507897573.1737993,161,64849.93359375
1507897573.698809,162,64520.6640625
1507897574.2188084,163,64776.96875
1507897574.7369473,164,64559.2734375
1507897575.2683563,165,64705.51953125
1507897575.844332,166,64554.2265625
1507897576.3702748,167,64549.07421875
1507897576.8895476,168,64048.44140625
1507897577.4115582,169,64512.0390625
1507897577.9270947,170,64389.91015625
1507897578.4531007,171,64491.8203125
1507897578.9680526,172,64483.515625
1507897579.485053,173,64315.14453125
1507897580.0005572,174,64390.40625
1507897580.5865583,175,64161.140625
1507897581.1003046,176,64717.97265625
1507897581.6169105,177,64351.10546875
1507897582.1369104,178,64205.31640625
1507897582.6697247,179,64257.3671875
